bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_year,publisher
12296,The Scarlet Letter,Nathaniel Hawthorne/Thomas E. Connolly/Nina Baym,3.4,142437263,9.78E+12,eng,279,609586,10402,2003,Penguin Books
1420,Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,4.02,521618746,9.78E+12,eng,289,609271,7139,2005,Cambridge University Press
6288,The Road,Cormac McCarthy,3.97,307265439,9.78E+12,eng,241,606433,34301,2006,Alfred A. Knopf
9416,Confessions of a Shopaholic,Sophie Kinsella,3.64,440241413,9.78E+12,eng,368,603675,10079,2003,Dell Publishing Company
15241,The Two Towers,J.R.R. Tolkien/Peter S. Beagle,4.44,618346260,9.78E+12,eng,322,593467,5798,2003,Houghton Mifflin
8852,Macbeth,William Shakespeare,3.9,743477103,9.78E+12,eng,249,592315,7791,2013,Simon  Schuster
7763,The Joy Luck Club,Amy Tan,3.92,143038095,9.78E+12,eng,288,565524,7255,2006,Penguin Books
6310,Charlie and the Chocolate Factory,Roald Dahl/Quentin Blake,4.13,142403881,9.78E+12,eng,176,558799,7239,2005,Puffin Books
3473,A Walk to Remember,Nicholas Sparks,4.17,446693804,9.78E+12,eng,240,555995,10173,2004,Grand Central Publishing
6969,Emma,Jane Austen/Fiona Stafford,4,141439580,9.78E+12,eng,474,549271,11117,2003,Penguin Books
39988,Matilda,Roald Dahl/Quentin Blake,4.31,141301066,9.78E+12,eng,240,541914,11576,1998,Puffin Books
5358,The Firm,Robin Waterfield/John Grisham,4.01,582418275,9.78E+12,eng,76,540910,3378,2000,Addison Wesley Publishing Company
2187,Middlesex,Jeffrey Eugenides,4,312422156,9.78E+12,eng,529,540349,19548,2003,Picador USA
10441,The Memory Keeper's Daughter,Kim Edwards,3.67,143037145,9.78E+12,eng,401,535636,17550,2006,Penguin Books
3431,The Five People You Meet in Heaven,Mitch Albom,3.93,1401308589,9.78E+12,eng,196,520051,16562,2003,Hyperion
24770,Uglies,Scott Westerfeld,3.86,689865384,9.78E+12,eng,425,516152,20708,2005,Simon Pulse
5526,Dear John,Nicholas Sparks,4.03,446528056,9.78E+12,eng,276,502726,9645,2006,Warner Books (NY)
7144,Crime and Punishment,Fyodor Dostoyevsky/David McDuff,4.21,143058142,9.78E+12,eng,671,483122,10265,2002,Penguin
4989,The Red Tent,Anita Diamant,4.17,312353766,9.78E+12,eng,336,470858,15859,2005,St. Martin's Press
42156,Something Borrowed,Emily Giffin,3.85,031232118X,9.78E+12,eng,322,454917,7487,2004,St. Martin's Press
7677,Jurassic Park,Michael Crichton,4.02,030734813X,9.78E+12,spa,480,451443,3647,2006,Plaza y Janes
11486,The Color Purple,Alice Walker,4.2,671727796,9.78E+12,eng,295,445206,9643,2004,Pocket
2156,Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,4.14,192802631,9.78E+12,eng,249,441462,11308,2004,Oxford University Press
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.93,316010669,9.78E+12,eng,296,437507,12937,2007,Back Bay Books
43763,Interview with the Vampire,Anne Rice,3.99,345476875,9.78E+12,eng,342,433413,7368,2004,Ballantine Books
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey/Jim Collins,4.1,743269519,9.78E+12,eng,372,431987,7024,2004,Free Press
10614,Misery,Stephen King,4.16,450417395,9.78E+12,eng,370,429510,7051,1988,New English Library
21996,The Devil in the White City: Murder  Magic  and Madness at the Fair That Changed America,Erik Larson/Tony Goldwyn,3.99,739303406,9.78E+12,eng,447,421575,23793,2003,Random House Audio Publishing Group
12691,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.13,739461192,9.78E+12,eng,291,414947,12116,2005,William Morrow; 1ST edition
17061,Coraline,Neil Gaiman/Dave McKean,4.06,61139378,9.78E+12,eng,162,403622,13096,2006,William Morrow Paperbacks
30183,Marked,P.C. Cast/Kristin Cast,3.8,312360266,9.78E+12,eng,306,399152,12748,2007,St. Martin's Press
5759,Fight Club,Chuck Palahniuk,4.19,393327345,9.78E+12,eng,218,388782,9654,2005,W.W. Norton & Company (NYC)
4407,American Gods,Neil Gaiman,4.11,747263744,9.78E+12,eng,635,383045,15962,2005,Headline Review
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll/John Tenniel/Martin Gardner,4.07,451527747,9.78E+12,eng,239,381097,6041,2000,Penguin Group (USA)
6334,Never Let Me Go,Kazuo Ishiguro,3.82,1400078776,9.78E+12,eng,288,380646,22957,2010,Vintage Books
8908,World War Z: An Oral History of the Zombie War,Max Brooks,4.01,307346609,9.78E+12,eng,342,370331,20582,2006,Crown
13145,Along Came a Spider,James Patterson,4.11,446692638,9.78E+12,eng,449,369267,4011,2003,Grand Central Publishing
7869,The Bourne Identity,Robert Ludlum,4.02,752864327,9.78E+12,eng,566,368195,3556,2005,Orion
5359,The Client,John Grisham,4,385339089,9.78E+12,eng,483,367399,1978,2010,Delta
13023,Alice in Wonderland,Lewis Carroll/Jane Carruth/Rene Cloke,4.03,517223627,9.78E+12,eng,92,364782,5234,2004,Gramercy Books
24337,Ella Enchanted,Gail Carson Levine,3.98,590920685,9.78E+12,eng,232,364091,8754,1998,Scholastic Books
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.17,385494785,9.78E+12,eng,368,351406,11701,1999,Anchor Books
29579,Foundation,Isaac Asimov,4.16,553803719,9.78E+12,eng,244,349846,6561,2004,Bantam
30118,A Light in the Attic,Shel Silverstein,4.34,60513063,9.78E+12,eng,176,349247,2567,2002,Harpercollins Childrens Books
14891,A Tree Grows in Brooklyn,Betty  Smith,4.26,61120073,9.78E+12,eng,496,345283,16114,2006,HarperCollins Publishers
14497,Neverwhere,Neil Gaiman,4.17,60557818,9.78E+12,eng,370,345122,15199,2003,William Morrow Paperbacks
32499,The Pelican Brief,John Grisham,4,385339704,9.78E+12,eng,400,340714,1942,2006,Delta
18373,Flowers for Algernon,Daniel Keyes,4.12,156030306,9.78E+12,eng,311,337596,9949,2005,Harvest Books
